,id,timestamp,layer_type,method,local_port,remote_port,resp_content_length,resp_vary,status_code,target,timestamp_dt
0,XD10tCwH,05/May/2025:09:08:24 +0000,SINGLE_LAYERED,OPTIONS,80,39486,,"Access-Control-Request-Method, Access-Control-Request-Headers, Origin",204,ssrf,2025-05-05 09:08:24+00:00
1,sRNMSqLX,05/May/2025:09:08:25 +0000,SINGLE_LAYERED,POST,80,39486,62.0,Origin,401,ssrf,2025-05-05 09:08:25+00:00
2,wWRXeQtO,05/May/2025:09:09:36 +0000,SINGLE_LAYERED,OPTIONS,80,39486,,"Access-Control-Request-Method, Access-Control-Request-Headers, Origin",204,ssrf,2025-05-05 09:09:36+00:00
3,bg2mL7Uq,05/May/2025:09:09:37 +0000,SINGLE_LAYERED,POST,80,39486,33.0,Origin,200,ssrf,2025-05-05 09:09:37+00:00
4,KTqEfmTV,05/May/2025:09:09:37 +0000,SINGLE_LAYERED,GET,80,39486,8846.0,Origin,200,ssrf,2025-05-05 09:09:37+00:00
5,BqqdfB9b,05/May/2025:09:09:39 +0000,SINGLE_LAYERED,GET,80,39486,33.0,Origin,200,ssrf,2025-05-05 09:09:39+00:00
6,ha6KyxgZ,05/May/2025:09:09:39 +0000,SINGLE_LAYERED,GET,80,39486,33.0,Origin,200,ssrf,2025-05-05 09:09:39+00:00
7,diJwpnm8,05/May/2025:09:09:40 +0000,SINGLE_LAYERED,GET,80,39486,33.0,Origin,200,ssrf,2025-05-05 09:09:40+00:00
8,EbMuLpNX,05/May/2025:09:09:41 +0000,SINGLE_LAYERED,GET,80,39486,8846.0,Origin,200,ssrf,2025-05-05 09:09:41+00:00
9,eD8JMHu2,05/May/2025:09:09:44 +0000,SINGLE_LAYERED,GET,80,39486,291.0,Origin,200,ssrf,2025-05-05 09:09:44+00:00
10,qyMmv2KZ,05/May/2025:09:09:45 +0000,SINGLE_LAYERED,GET,80,39486,709.0,Origin,200,ssrf,2025-05-05 09:09:45+00:00
11,idTWRGef,05/May/2025:09:09:45 +0000,SINGLE_LAYERED,GET,80,39486,33.0,Origin,200,ssrf,2025-05-05 09:09:45+00:00
12,r0XCnthR,05/May/2025:09:09:45 +0000,SINGLE_LAYERED,GET,80,39486,291.0,Origin,200,ssrf,2025-05-05 09:09:45+00:00
13,0ZIN0wxK,05/May/2025:09:09:45 +0000,SINGLE_LAYERED,GET,80,33686,34.0,Origin,200,ssrf,2025-05-05 09:09:45+00:00
14,i2bdgAjw,05/May/2025:09:09:48 +0000,SINGLE_LAYERED,OPTIONS,80,33686,,"Access-Control-Request-Method, Access-Control-Request-Headers, Origin",204,ssrf,2025-05-05 09:09:48+00:00
15,XKwSkHIy,05/May/2025:09:09:48 +0000,SINGLE_LAYERED,POST,80,33686,49.0,Origin,200,ssrf,2025-05-05 09:09:48+00:00
16,sU6GgRff,05/May/2025:09:11:30 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:30+00:00
17,0v2yqzIY,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
18,zt9e1taX,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35992,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
19,DWzwmGue,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
20,k0sORX3Q,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
21,T3OH0fpy,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
22,YwcYpA51,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
23,h2xTIr50,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
24,pxPGSQet,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
25,BM7fRV3D,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36010,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
26,S1ASgxOC,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
27,u0kjBniq,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
28,qfH8UM9J,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35992,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
29,89r3aZKE,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36010,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
30,0lwtXmxh,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36040,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
31,HWYjuCdM,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
32,BlnrjB4d,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35992,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
33,4qkR5cTt,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36020,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
34,apgUp03X,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36032,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
35,1xnXcKv4,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36050,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
36,26aoJHBO,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36046,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
37,dW32khgZ,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36078,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
38,XdYm2lUB,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36010,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
39,AJUrQyJP,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36040,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
40,AmKJa19Q,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
41,gQW9kdS1,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
42,7yk29LMK,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36066,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
43,fBkT4Ru7,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36078,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
44,UtywF1VD,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36040,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
45,79CqJERT,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
46,0jmYkvwP,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36066,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
47,FdYJD1Ao,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36078,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
48,JTY34y4C,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36066,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
49,oqIboJ8Q,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36078,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
50,vmC48YOD,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36066,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
51,mP5HB2xC,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36040,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
52,gY3zkSSj,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35988,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
53,9CHs5EHO,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
54,zkia2dcD,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36040,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
55,fnPjjTte,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
56,D5iLe5YK,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
57,bZJMzj59,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,35996,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
58,x44N3LmV,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36040,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
59,vKz0YGMD,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36092,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
60,EiPRhufS,05/May/2025:09:11:31 +0000,SINGLE_LAYERED,GET,80,36040,,Origin,200,ssrf,2025-05-05 09:11:31+00:00
